ID,Título,Autor,Ano da edição,Páginas,Editora,Gênero,Estrelas,Já leram,Lendo,Querendo ler,Relendo,Abandonos,Resenhas,Homens,Mulheres,Avaliação,Sentimento,Imagem
1,Ensaio sobre a cegueira,José Saramago,1995,312,Companhia das Letras,Ficção,4.6,77394,4733,63636,142,2486,3204,26%,74%,"O livro ""Ensaio sobre a Cegueira"" de José Saramago recebeu avaliações variadas, desde elogios à escrita impactante e reflexiva até críticas à narrativa cansativa e à diagramação. A obra foi descrita como uma reflexão profunda sobre a essência humana, a sociedade e a cegueira moral, despertando desconforto e reflexões sobre a natureza humana e a capacidade de enxergar além do óbvio. Apesar de dividir opiniões, muitos leitores destacaram a importância e a intensidade da história, considerando-a uma leitura necessária e impactante.",Bom,https://img.skoob.com.br/N5Rzlq_jziBJFc9j3zuFRqYIuAw=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/1/ENSAIO_SOBRE_A_CEGUEIRA_15641004311SK1564100433B.jpg
2,O Caçador de Pipas,Khaled Hosseini,2005,365,Nova Fronteira,Romance,4.4,235844,2740,81094,191,4479,2637,18%,82%,"O livro ""O Caçador de Pipas"" de Khaled Hosseini recebeu avaliações extremamente positivas, destacando a profundidade da história, a sensibilidade na abordagem de temas como amizade, culpa e redenção, a riqueza dos personagens e a reflexão sobre questões como traumas infantis, imigração, direitos humanos e a realidade do Afeganistão. As avaliações ressaltam a intensidade emocional da leitura, a capacidade de envolver o leitor em uma trama tocante e a importância de enfrentar temas difíceis, como violência, abuso e guerra, presentes na narrativa. A obra é descrita como uma experiência marcante, que desperta uma ampla gama de emoções e reflexões, tornando-se uma leitura essencial e impactante para todos os que se aventuram em suas páginas.",Bom,https://img.skoob.com.br/zHa133Ruwvr36jI7QTGmklASS1o=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/2/O_CACADOR_DE_PIPAS_1240439978B.jpg
3,O Alquimista,Paulo Coelho,2006,192,Planeta do Brasil,Ficção,3.9,131630,1800,18573,195,1601,2892,26%,74%,"O livro ""O Alquimista"" de Paulo Coelho é amplamente elogiado por sua capacidade de motivar e inspirar os leitores a perseguirem seus sonhos, mesmo diante das adversidades. Com uma narrativa envolvente e cheia de simbolismos, a obra aborda temas como evolução pessoal, autoconhecimento e a importância de seguir o coração. Apesar de algumas críticas sobre a simplicidade da escrita e a previsibilidade da trama, a maioria dos leitores destaca a profundidade das reflexões e ensinamentos transmitidos ao longo da história, tornando-a uma leitura recomendada para todos que buscam uma jornada de crescimento espiritual e emocional.",Bom,https://img.skoob.com.br/ICgqpfUXjLOjVAqu1dotiHGbZgY=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/3/O_ALQUIMISTA_1225837189B.jpg
7,A Menina que Roubava Livros,Markus Zusak,2011,480,Intrínseca,Romance,4.5,446407,18093,345368,1146,22085,6631,14%,86%,"O livro ""A menina que roubava livros"", escrito por Markus Zusak, é amplamente elogiado por sua sensibilidade ao abordar uma época difícil da história, a Segunda Guerra Mundial, sob a perspectiva de uma garota alemã chamada Liesel Meminger. Os leitores destacam a emoção e a cativação proporcionadas pela história, aprofundando-se nos personagens e nas relações humanas em meio ao caos da guerra. A narrativa envolvente, a presença marcante da Morte como narradora e os momentos de tristeza e felicidade vividos pelos personagens tornam a leitura uma experiência marcante e reflexiva, despertando sentimentos intensos e reflexões sobre a natureza humana e a importância da existência.",Bom,https://img.skoob.com.br/I8HhJL8bSDPgwgt4uFaVQ8a9XkY=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/7/A_MENINA_QUE_ROUBAVA_LIVROS_14476507387SK1447650738B.jpg
11,Pai Rico Pai Pobre,Robert Kiyosaki,2000,192,Campus / Elsevier,Negócios,4.3,33833,4117,18825,163,1043,1339,48%,52%,"O livro ""Pai Rico, Pai Pobre"" de Robert Kiyosaki recebeu uma variedade de avaliações, desde elogios entusiasmados até críticas mais negativas. Alguns leitores destacaram a capacidade do livro de abrir suas mentes para novas perspectivas sobre dinheiro e investimentos, enquanto outros acharam a narrativa arrastada e as ideias muito básicas. No entanto, a maioria concorda que o livro oferece ensinamentos valiosos sobre educação financeira, ativos e passivos, e a importância de uma mentalidade empreendedora para alcançar a independência financeira. Mesmo com opiniões divergentes, muitos leitores reconhecem o impacto positivo que a leitura teve em suas vidas e acreditam que o livro é uma leitura essencial para quem deseja melhorar sua relação com o dinheiro e buscar uma vida mais próspera.",Bom,https://img.skoob.com.br/bZiEMgt06xfZqprhro6Sbrp63wQ=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/11/PAI_RICO_PAI_POBRE_1384968190B.jpg
12,Quem Mexeu No Meu Queijo?,Spencer Johnson,2004,107,Record,Autoajuda,3.6,87629,389,6064,84,500,1309,26%,74%,"O livro ""Quem Mexeu no Meu Queijo?"" é descrito como uma leitura rápida e reflexiva, capaz de provocar questionamentos sobre a forma como lidamos com mudanças em nossas vidas. Através de uma parábola envolvendo personagens em busca de queijo em um labirinto, a obra aborda temas como medo, superação, adaptação e crescimento pessoal, levando o leitor a refletir sobre suas próprias atitudes e perspectivas diante das transformações e desafios que surgem ao longo do caminho. Recomendado como uma leitura leve, porém carregada de significados e ensinamentos valiosos.",Bom,https://img.skoob.com.br/511_qTLvZP1NM2oTr88-akOp-bw=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/12/QUEM_MEXEU_NO_MEU_QUEIJO_1225842387B.jpg
13,Marley & Eu,John Grogan,2006,303,Ediouro,Biografia,4.3,214390,1666,59706,155,3913,1847,14%,86%,"O livro ""Marley & Eu"" de John Grogan é uma obra emocionante que retrata a vida de um labrador travesso e amoroso chamado Marley, e como ele impacta profundamente a vida de seus donos. A narrativa envolvente aborda temas como amor incondicional, paciência, perdas e a importância de aproveitar cada momento ao lado de nossos animais de estimação. As avaliações dos leitores ressaltam a conexão especial entre humanos e seus pets, destacando a lealdade, a alegria e as lições valiosas que os animais podem nos ensinar. O livro é descrito como emocionante, divertido, inspirador e capaz de provocar risos e lágrimas, tornando-se uma leitura recomendada para todos os amantes de animais e histórias tocantes.",Bom,https://img.skoob.com.br/BqaxY_mRsdAksUe-YQYrUVeUnhs=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/13/MARLEY_E_EU__A_VIDA_E_O_AMOR_AO_LADO_DO_1225848187B.jpg
18,O Monge e O Executivo,James C. Hunter,2004,127,Sextante,Negócios,3.9,108791,2036,10131,201,2191,1292,34%,66%,"O livro ""O Monge e o Executivo"" narra a história de John, um empresário bem-sucedido que, após enfrentar desafios em sua vida pessoal e profissional, decide participar de um retiro em um mosteiro, onde encontra o monge Simeão. Através de diálogos e reflexões, o livro aborda temas como liderança, autoridade, amor e respeito, apresentando lições valiosas sobre como ser um líder eficaz e influenciar positivamente as pessoas ao seu redor. Apesar de alguns leitores apontarem diálogos artificiais e repetitivos, a obra é considerada uma leitura proveitosa e transformadora, recomendada para aqueles em busca de crescimento pessoal e profissional.",Mediano,https://img.skoob.com.br/apVDJ4s-ITQ-dSHY-hY7ueUecE8=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/18/O_MONGE_E_O_EXECUTIVO_1341929334B.jpg
40,A arte da guerra,Sun Tzu,2006,152,L&PM Pocket,Negócios,3.8,59573,3340,20210,255,2308,1930,50%,50%,"O livro ""A Arte da Guerra"" de Sun Tzu é reconhecido por sua profundidade e aplicabilidade em diversas áreas da vida, não se limitando apenas ao contexto militar. Com ensinamentos sobre estratégia, liderança, autoconhecimento e adaptação, o livro oferece reflexões valiosas que podem ser utilizadas no dia a dia, nas relações interpessoais e até mesmo na política e na geografia. Apesar de algumas críticas quanto à leitura cansativa ou a falta de interesse em temas de guerra, a maioria das avaliações ressalta a importância e a atemporalidade dos ensinamentos contidos na obra, destacando-a como uma leitura enriquecedora e transformadora.",Bom,https://img.skoob.com.br/bIXvPjDSx8XSWzKzdhc9IPtXJ98=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/40/A_ARTE_DA_GUERRA_143424838840SK1434248388B.jpg
47,Os homens que não amavam as mulheres,Stieg Larsson,2008,522,Companhia das Letras,Mistério,4.6,44429,1817,31598,52,1193,1375,26%,74%,"Os Homens Que Não Amavam Suas Mulheres é um livro envolvente e complexo que combina elementos de mistério, suspense e crítica social. A trama segue o jornalista Mikael Blomkvist e a hacker Lisbeth Salander enquanto investigam o desaparecimento de uma jovem, revelando segredos sombrios e perturbadores sobre uma família poderosa. Com personagens ricos e cativantes, o livro aborda questões como violência contra as mulheres, corrupção e abuso de poder, oferecendo uma narrativa que desafia e emociona o leitor, mantendo-o preso do início ao fim. Uma leitura obrigatória para os fãs do gênero e para aqueles que buscam uma história envolvente e provocativa.",Bom,https://img.skoob.com.br/GAHSttWUiXC2VnFWtF1-T_aw-pk=/200x/center/top/smart/filters:format(jpeg)/https://skoob.s3.amazonaws.com/livros/47/OS_HOMENS_QUE_NAO_AMAVAM_AS_MULHERES_1226094702B.jpg
